id_municipality,municipality_name,postal_code
93811,Tinieblas de la Sierra,09649
93847,Tordómar,09341
93847,Tordómar,09384
93898,Torrepadre,09342
93898,Torrepadre,09345
93945,Trespaderne,09213
93945,Trespaderne,09540
93945,Trespaderne,09549
93958,Tubilla del Agua,09143
93958,Tubilla del Agua,09145
93919,Tórtoles de Esgueva,09310
93919,Tórtoles de Esgueva,09312
99086,Valle de Losa,09510
99086,Valle de Losa,09511
99086,Valle de Losa,09512
94094,Valle de Manzanedo,09558
94094,Valle de Manzanedo,09572
94108,Valle de Mena,09545
94108,Valle de Mena,09569
94108,Valle de Mena,09580
94108,Valle de Mena,09585
94108,Valle de Mena,09586
94108,Valle de Mena,09587
94108,Valle de Mena,09588
94108,Valle de Mena,09589
99027,Valle de Santibáñez,09131
99027,Valle de Santibáñez,09150
99027,Valle de Santibáñez,09159
99051,Valle de Sedano,09142
99051,Valle de Sedano,09145
99051,Valle de Sedano,09146
99051,Valle de Sedano,09551
94120,Valle de Tobalina,09210
94120,Valle de Tobalina,09211
94120,Valle de Tobalina,09212
94120,Valle de Tobalina,09213
94120,Valle de Tobalina,09549
94136,Valle de Valdebezana,09571
94136,Valle de Valdebezana,09572
99048,Valle de las Navas,09191
99048,Valle de las Navas,09591
94271,Villadiego,09120
94271,Villadiego,09124
94271,Villadiego,09125
94271,Villadiego,09128
94271,Villadiego,09129
94271,Villadiego,09133
94271,Villadiego,09427
94304,Villaespasa,09640
94304,Villaespasa,09650
94311,Villafranca Montes de Oca,09257
94311,Villafranca Montes de Oca,09258
94398,Villalbilla de Burgos,09195
94398,Villalbilla de Burgos,09197
99033,Villarcayo de Merindad de Castilla la Vieja,09513
99033,Villarcayo de Merindad de Castilla la Vieja,09549
99033,Villarcayo de Merindad de Castilla la Vieja,09550
99033,Villarcayo de Merindad de Castilla la Vieja,09553
99033,Villarcayo de Merindad de Castilla la Vieja,09554
99033,Villarcayo de Merindad de Castilla la Vieja,09555
99033,Villarcayo de Merindad de Castilla la Vieja,09556
99033,Villarcayo de Merindad de Castilla la Vieja,09557
99033,Villarcayo de Merindad de Castilla la Vieja,09558
94666,Villaverde del Monte,09228
94666,Villaverde del Monte,09339
94764,Villoruebo,09640
94764,Villoruebo,09646
